question_id,question,a,b,c,d,ans,topic,subtopic,diff
1,"$ [\begin{matrix}(1&-1@2&3)]=[■(1&0@0&1)]a,r_2→r_2-2r_1 $ gives",$ \left[\begin{matrix}1&-1\\0&1\\\end{matrix}\right]=\left[\begin{matrix}1&0\\-2&1\\\end{matrix}\right]a $,$ \left[\begin{matrix}-1&-1\\0&5\\\end{matrix}\right]=\left[\begin{matrix}1&0\\-2&1\\\end{matrix}\right]a $,$ \left[\begin{matrix}1&-1\\0&5\\\end{matrix}\right]=\left[\begin{matrix}1&0\\-2&1\\\end{matrix}\right]a $,$ \left[\begin{matrix}1&-1\\0&5\\\end{matrix}\right]=\left[\begin{matrix}1&0\\-2&0\\\end{matrix}\right]a $,c,matrices,none,1
2,"if $ a=\left[\begin{matrix}1&2&-1\\3&-2&5\\\end{matrix}\right] $, then $ r_1\leftrightarrow r_2 $ and $ c_1\rightarrowc_1+2c_3 $ gives",$ \left[\begin{matrix}13&2&-5\\-1&2&-1\\\end{matrix}\right] $,$ \left[\begin{matrix}-1&-2&-1\\13&-2&5\\\end{matrix}\right] $,$ \left[\begin{matrix}-13&-2&5\\-1&2&-1\\\end{matrix}\right] $,$ \left[\begin{matrix}2&-13&-5\\2&-1&-1\\\end{matrix}\right] $,a,matrices,none,1
3,the upper triangular matrix of the matrix $ \left[\begin{matrix}1&-1&2\\2&1&3\\3&2&4\\\end{matrix}\right] $ is,$ \left[\begin{matrix}-1&-1&-2\\0&3&-1\\0&0&\frac{-1}{3}\\\end{matrix}\right] $,$ \left[\begin{matrix}1&1&-2\\0&3&-1\\0&0&\frac{-1}{3}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{-1}{3}&0&0\\3&-1&0\\-1&2&0\\\end{matrix}\right] $,$ \left[\begin{matrix}1&-1&2\\0&3&-1\\0&0&\frac{-1}{3}\\\end{matrix}\right] $,d,matrices,none,1
4,"if $ a=\left[\begin{matrix}a_{11}&a_{12}\\a_{21}&a_{22}\\\end{matrix}\right] $ then minor of $ a_{11} $ (i.e., $ m_{11} $ ) is",$ a_{11} $,$ a_{22} $,$ a_{21} $,$ a_{12} $,b,matrices,none,1
5,"if $ a=\left[\begin{matrix}1&-1\\2&3\\\end{matrix}\right] $, then $ m_{21}= $",-1,$ 1 $,2,3,a,matrices,none,1
6,"if $ a=\left[\begin{matrix}1&2&3\\0&4&2\\0&0&6\\\end{matrix}\right] $, then the minor of the element $ a_{31} $ is",-8,$ -18 $,4,$ -12 $,a,matrices,none,1
7,"if $ a=\left[\begin{matrix}1&1&1\\2&1&-3\\-1&2&3\\\end{matrix}\right] $, then $ m_{23}= $",13,3,4,$$  -1  $$,b,matrices,none,1
8,the co-factor $ a_{12} $ for the matrix $ a=\left[\begin{matrix}-2&3\\-3&5\\\end{matrix}\right] $ is,-3,2,$ 3 $,$ -5 $,c,matrices,none,1
9,"if $ b=\left[\begin{matrix}2&3\\-4&3\\\end{matrix}\right] $, then co-factor $ a_{21}= $",2,$ -3 $,$ -13 $,3,b,matrices,none,1
10,"if $ a=\left[\begin{matrix}2&-1&3\\4&2&5\\0&4&-1\\\end{matrix}\right] $, then co-factor $ a_{32} $ is",$ 2 $,4,$ -8 $,-2,a,matrices,none,1
11,"if $ a=\left[\begin{matrix}1&1&1\\2&1&-3\\-1&2&3\\\end{matrix}\right] $, then co-factors of $ 3^{\mathrm{rd\ }} $ row are","$ -4,5,-1 $","$ -4,5,1 $","$ 4,5,-1 $","$ -4,5,-11 $",a,matrices,none,1
12,"if $ a=\left[\begin{matrix}-1&5\\-3&2\\\end{matrix}\right] $, then $ adj\funcapplya= $",$ \left[\begin{matrix}2&3\\-5&-1\\\end{matrix}\right] $,$ \left[\begin{matrix}2&-5\\3&-1\\\end{matrix}\right] $,$ \left[\begin{matrix}1&-5\\3&-2\\\end{matrix}\right] $,$ \left[\begin{matrix}-2&5\\-3&1\\\end{matrix}\right] $.,b,matrices,none,1
13,"if $ a=\left[\begin{matrix}1&0&0\\3&3&0\\5&2&-1\\\end{matrix}\right] $, then adj $ a $ is",$ \left[\begin{matrix}-3&0&10\\3&-1&0\\-9&-2&-3\\\end{matrix}\right] $,$ \left[\begin{matrix}0&0&-3\\0&-1&3\\3&-2&-9\\\end{matrix}\right] $,$ \left[\begin{matrix}-3&0&0\\3&-1&0\\-9&-2&-3\\\end{matrix}\right] $,$ \left[\begin{matrix}0&0&3\\0&1&-3\\-3&2&9\\\end{matrix}\right] $,c,matrices,none,1
14,$$  adj\funcapplyab-(adj\funcapplyb)(adj\funcapplya)=\bigm  $$,adj a - adj b,$ o $,i,none of these,b,matrices,none,1
15,"if $ a=\left[\begin{matrix}4&2\\5&3\\\end{matrix}\right] $, then $ |adj\funcapply(adj\funcapplya)|= $",1,-2,2,4,c,matrices,none,1
16,"if $ a=\left[\begin{matrix}a&0&0\\0&a&0\\0&0&a\\\end{matrix}\right] $, then the value of $ |a||adj\funcapply a| $ is",$ a^3 $,$ a^9 $,$ {2a}^9 $,$ a^{27} $,b,matrices,none,1
17,"a square matrix has inverse, if $ |a| $ is",0,$ -1 $,1,non zero,d,matrices,none,1
18,"if $ a=\left[\begin{matrix}2&3\\4&6\\\end{matrix}\right] $, then $ a^{-1}= $",$ \left[\begin{matrix}1&-2\\-\frac{3}{2}&-3\\\end{matrix}\right] $,$ \left[\begin{matrix}20&-3\\4&60\\\end{matrix}\right] $,$ \left[\begin{matrix}-2&14\\-3&60\\\end{matrix}\right] $,does not exist,d,matrices,none,1
19,the multiplicative inverse of matrix $ a=\left[\begin{matrix}2&1\\7&4\\\end{matrix}\right] $ is,$ \left[\begin{matrix}4&-1\\-7&2\\\end{matrix}\right] $,$ \left[\begin{matrix}-4&-1\\7&-2\\\end{matrix}\right] $,$ \left[\begin{matrix}4&-7\\7&2\\\end{matrix}\right] $,$ \left[\begin{matrix}40&-1\\-7&21\\\end{matrix}\right] $,a,matrices,none,1
20,the inverse of the matrix $ \left[\begin{matrix}3&-2\\1&4\\\end{matrix}\right] $ is,$ \left[\begin{matrix}\frac{-4}{14}&\frac{2}{14}\\\frac{-1}{14}&\frac{-3}{14}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{3}{14}&\frac{-2}{14}\\\frac{1}{14}&\frac{4}{14}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{4}{14}&\frac{2}{14}\\-\frac{1}{14}&\frac{3}{14}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{3}{14}&\frac{2}{14}\\\frac{1}{14}&\frac{4}{14}\\\end{matrix}\right] $,c,matrices,none,1
21,"if $ a=\left[\begin{matrix}a&0\\0&\frac{1}{b}\\\end{matrix}\right] $, then $ a^{-1}= $",$ \left[\begin{matrix}-a&0\\0&-\frac{1}{\mathrm{\ }b}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{1}{a}&0\\0&-\frac{1}{b}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{2}{a}&0\\0&-b\\\end{matrix}\right] $,$ \left[\begin{matrix}-a&0\\0&\mathrm{\ }b\\\end{matrix}\right] $,b,matrices,none,1
22,inverse of the matrix $ \left[\begin{matrix}3&-2&-1\\-4&1&-1\\2&0&1\\\end{matrix}\right] $ is,$$  \left[\begin{matrix}1&2&3\\2&5&7\\-2&-4&-5\\\end{matrix}\right]  $$,$ \left[\begin{matrix}1&-3&5\\7&4&6\\4&2&7\\\end{matrix}\right] $,$ \left[\begin{matrix}-1&-2&-3\\2&5&-7\\-2&-4&-5\\\end{matrix}\right] $,$ \left[\begin{matrix}1&-3&5\\7&4&6\\4&2&-7\\\end{matrix}\right] $,a,matrices,none,1
23,"if $ a=\left[\begin{matrix}a&0&0\\0&\mathrm{\ }b&0\\0&0&c\\\end{matrix}\right] $ and $ abc\neq0 $, then $ a^{-1} $",$ \left[\begin{matrix}a&0&0\\0&\frac{1}{b}&0\\0&0&c\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{1}{a}&0&0\\0&\frac{1}{b}&0\\0&0&\frac{1}{c}\\\end{matrix}\right] $,$ \left[\begin{matrix}a&0&0\\0&\frac{1}{b}&0\\0&0&\frac{1}{c}\\\end{matrix}\right] $,$ \left[\begin{matrix}\frac{2}{a}&0&0\\0&\frac{1}{b}&0\\0&0&\frac{2}{c}\\\end{matrix}\right] $,b,matrices,none,1
24,"if matrix $ a=\left[\begin{matrix}3&2&4\\1&2&-1\\0&1&1\\\end{matrix}\right] $ and $ a^{-1}=\frac{1}{k} $ adj $ a $, then $ k $ is",11,$ -7 $,$ \frac{1}{7} $,-11,a,matrices,none,1
25,"if $ i_3 $ is the identity matrix of order 3 , then $ i_3^{-1} $ is",0,$ i_3 $,$ 3i_3 $,does not exist,b,matrices,none,1
26,let $ a $ be an invertible matrix. which of the following is not true?,$ \left(a^t\right)^{-1}=\left(a^{-1}\right)^t $,$ \left(a^2\right)^{-1}=\left(a^{-1}\right)^2 $,$$  \left|a^{-1}\right|=|a|^{-1}  $$,$ a^{-1}=|a|^{-1} $,d,matrices,none,1
27,"if $ a $ and $ b $ are non-singular matrices, then",$$  \left(ab\right)^{-1}=a^{-1}b^{-1}  $$,$ ab=ba $,$ (ab)^{-1}=b^{-1}{\mathrm{\ }a}^{-1} $,$$  (ab)^\prime=a^\primeb^\prime  $$,c,matrices,none,1
28,"if $ x+2y=3 $ and $ 2x+3y=4 $, then the values of $ x $ and $ y $ are","$ -1,2 $","$ {\ }-2,1 $","-1,-2","$$  2,-1  $$",a,matrices,none,1
29,"if $ 3x-4y+2z=-1,2x+3y+5z=7 $, $ x+z=2 $, then $ x= $",-3,2,3,$ -1 $,c,matrices,none,1
30,"if $ a=\left[\begin{matrix}i&0\\0&\frac{i}{2}\\\end{matrix}\right] $ where $ (i=\sqrt{-1}) $, then $ a^{-1}= $",$ \left[\begin{matrix}i&0\\0&\frac{i}{2}\\\end{matrix}\right] $,$$  \left[\begin{matrix}i&0\\0&-2i\\\end{matrix}\right]  $$,$ \left[\begin{matrix}-i&0\\0&-2i\\\end{matrix}\right] $,$ \left[\begin{matrix}0&i\\2i&0\\\end{matrix}\right] $,c,matrices,none,1
31,which of the following statements is false:,"if $ |a|=0 $, then $ |adj\funcapply a|=0 $",adjoint of a diagonal matrix of order $ 3\times3 $ is a diagonal matrix,product of two upper triangular matrices is a upper triangular matrix,$ adj\funcapply(ab)=adj\funcapplyoption\ a:adj\funcapplyoption\ b: $,d,matrices,none,1
32,if $ \left[\begin{matrix}1&3&-2\\-3&0&-5\\2&5&0\\\end{matrix}\right]=a\left[\begin{matrix}1&0&0\\0&1&0\\0&0&1\\\end{matrix}\right] $ then $ c_2\rightarrow c_2-3c_1 $ and $ c_3\rightarrow c_3+2c_1 $ gives,$$  \left[\begin{matrix}1&0&0\\-3&9&-11\\2&-1&4\\\end{matrix}\right]=a\left[\begin{matrix}1&-3&2\\0&1&0\\0&0&1\\\end{matrix}\right]  $$,$ \left[\begin{matrix}1&0&0\\-3&-1&-4\\2&-9&11\\\end{matrix}\right]=a\left[\begin{matrix}1&-3&2\\0&1&0\\0&0&1\\\end{matrix}\right] $,$ \left[\begin{matrix}1&0&0\\-3&1&4\\-2&9&-11\\\end{matrix}\right]=a\left[\begin{matrix}-1&3&2\\0&-1&0\\0&0&-1\\\end{matrix}\right] $,$ \left[\begin{matrix}1&0&0\\3&-9&11\\-2&1&4\\\end{matrix}\right]=a\left[\begin{matrix}-1&3&2\\0&-1&0\\0&0&-1\\\end{matrix}\right] $,a,matrices,none,2
33,"if $ a=\left[\begin{matrix}2&-3&3\\2&2&3\\3&-2&2\\\end{matrix}\right] $, then $ c_2+2c_1 $ and then $ r_1+r_3 $ gives",$ \left[\begin{matrix}2&1&3\\2&6&3\\3&4&2\\\end{matrix}\right] $,$$  \left[\begin{matrix}5&5&5\\2&6&3\\3&4&2\\\end{matrix}\right]  $$,$ \left[\begin{matrix}5&5&5\\3&4&2\\2&6&3\\\end{matrix}\right] $,$$  \left[\begin{matrix}2&-1&3\\2&4&3\\3&1&2\\\end{matrix}\right]  $$,b,matrices,none,2
34,"if $ a=\left[\begin{matrix}1&2&1\\3&2&3\\2&1&2\\\end{matrix}\right] $, then $ a_{11}{\mathrm{\ }a}_{11}+a_{21}{\mathrm{\ }a}_{21}+a_{31}{\mathrm{\ }a}_{31}= $",1,2,$$  \left|a\right|  $$,3,c,matrices,none,2
35,adjoint of the matrix $ n=\left[\begin{matrix}-4&-3&-3\\1&0&1\\4&4&3\\\end{matrix}\right] $ is,2$ n $,$$  n  $$,$ n $,$ -2\mathrm{\ }n $,c,matrices,none,2
36,"if $ x=\left[\begin{matrix}-x&-y\\z&t\\\end{matrix}\right] $, then transpose of adj $ x $ is",$ \left[\begin{matrix}t&-z\\y&-x\\\end{matrix}\right] $,$ \left[\begin{matrix}t&y\\-z&-x\\\end{matrix}\right] $,$$  \left[\begin{matrix}2t&-z\\y&-x\\\end{matrix}\right]  $$,none of these,a,matrices,none,2
37,"if $ a=\left[\begin{matrix}3&2\\7&5\\\end{matrix}\right],b=\left[\begin{matrix}6&7\\8&9\\\end{matrix}\right] $, then $ adj\funcapply(ab) $ is equal to",$ \left[\begin{matrix}-94&-39\\-82&-34\\\end{matrix}\right] $,$ \left[\begin{matrix}94&-39\\82&-34\\\end{matrix}\right] $,$ \left[\begin{matrix}94&-82\\-39&34\\\end{matrix}\right] $,$$  \left[\begin{matrix}94&-39\\-82&34\\\end{matrix}\right]  $$,d,matrices,none,2
38,"if $ a=\left[\begin{matrix}4&2\\3&4\\\end{matrix}\right] $, then $ \mid $ adj $ a\mid $ is equal to",16,100,10,8,c,matrices,none,2
39,"if $ a=\left[\begin{matrix}1&2&3\\1&4&9\\1&8&27\\\end{matrix}\right] $, then $ |adj\funcapplya| $ is equal to",144,72,44,64,a,matrices,none,2
40,"if $ a $ is a singular matrix, then adj $ a $ is",singular,symmetric,non-singular,not defined,a,matrices,none,2
41,"if a = $ 3  21  4, then a adj a= $",$ 0  00  10 $,$ 10  010  0 $,$$  10  11  10  $$,none of these,b,matrices,none,2
42,"if a is a singular matrix of order n, then a.(adj a) is",unit matrix,row matrix,zero matrix,column matrix,c,matrices,none,2
43,if $ a=a  bc  d     $then adj (adj a) is equal to,a,adj a,at,#NAME?,a,matrices,none,2
44,if a is a square matrix such that  a= $   4  0  00  4  00  0  4 $ then $ \frac{\left|adj(adja)\right|}{\left|adja\right|} $ is equal to,16,161,32,64,a,matrices,none,2
45,"the matrix$   1  a  21  2  52  1  1 $ is not invertible, if 'a' has the value",2,11,1,-1,c,matrices,none,2
46,"the matrix$   λ   -1   4-3    0     1-1      1     2 $  is invertible ,if",$ \lambda\neq-15 $,$ \lambda\neq- $17,$ \lambda\neq- $14,$$  \lambda\neq-18  $$,b,matrices,none,2
47,the inverse of the matrix a = $ 2    0 -15     1     0-1    1    2 $,$ 3   -1    1-15     6  -55   -2      2 $,$ -2    0 -1-5     1     0-1    1   -2 $,$ 2    0 -1050     1     0-10    1    2 $,$ 21    0 -15     11     0-1    1    21 $,a,matrices,none,2
48,"if a = $ 1  4 -16  3    02   0    0 $, then 6|$ a^{-1} $| is equal to",10,1,3,4,b,matrices,none,2
49,"if d= diag [2, 3, 4], then $ d^{-1} $","diag$ \left[\frac{1}{2},\frac{1}{3},\frac{1}{4}\right] $",i,d,o,a,matrices,none,2
50,"if p=$ \left[\begin{matrix}1&2&3\\3&1&0\\0&0&1\\\end{matrix}\right] $ , q=$ \left[\begin{matrix}1&-2&-3\\-3&1&9\\0&0&-5\\\end{matrix}\right] $ then (p$ q^{-1} $) equals to",zero matrix,$ \frac{-1}{5}i_3 $,diag [-5.-5.-5],$$  \frac{-1}{4}i_3  $$,b,matrices,none,2
51,the inverse of matrix a = $ 0   1   01   0   00   1   0 $ is,2a,a,$ \left[\begin{matrix}1&0&0\\0&1&0\\0&0&1\\\end{matrix}\right] $,$$  \left[\begin{matrix}1&0&1\\1&0&0\\0&1&1\\\end{matrix}\right]  $$,b,matrices,none,2
52,the element of second row and third column in the inverse of $ \left[\begin{matrix}1&2&1\\2&1&0\\-1&0&1\\\end{matrix}\right] $is,-2,1,-1,2,c,matrices,none,2
53,the matrix a satisfying a$ 1   50   1=3   -16      0 $is,$ \left[\begin{matrix}3&2\\6&-3\\\end{matrix}\right] $,$ \left[\begin{matrix}-3&16\\6&-30\\\end{matrix}\right] $,$ \left[\begin{matrix}3&-16\\6&-30\\\end{matrix}\right] $,$$  \left[\begin{matrix}3&-3\\6&2\\\end{matrix}\right]  $$,c,matrices,none,2
54,"if$ \left[\begin{matrix}2&1\\7&4\\\end{matrix}\right]a\left[\begin{matrix}-3&2\\5&-3\\\end{matrix}\right]=\left[\begin{matrix}1&0\\0&1\\\end{matrix}\right] $, then matrix a equals",$ \left[\begin{matrix}-7&5\\-11&-8\\\end{matrix}\right] $,$ \left[\begin{matrix}2&1\\5&3\\\end{matrix}\right] $,$ \left[\begin{matrix}7&5\\-11&-8\\\end{matrix}\right] $,$$  \left[\begin{matrix}5&-3\\13&8\\\end{matrix}\right]  $$,c,matrices,none,2
55,"if the inverse of product of the matrix $ b=\left[\begin{matrix}2&6&4\\1&0&1\\1&1&-1\\\end{matrix}\right]with\ matrix\ a\ is $ $$  \ c=\left[\begin{matrix}1&0&1\\1&1&3\\2&0&2\\\end{matrix}\right],\ then\ a^{-1}equals  $$",$$  \left[\begin{matrix}3&-5&-5\\0&9&2\\2&14&6\\\end{matrix}\right]  $$,,,,c,matrices,none,2
56,"from the matrix equation ab =ac we can conclude that b = c, provided",a is non-singular.,a is singular.,a is symmetric.,a is square.,b,matrices,none,2
57,if and then the value of x is a=$ \left[\begin{matrix}x&-2\\3&7\\\end{matrix}\right] $ and $ a^{-1}=\left[\begin{matrix}\frac{7}{34}&\frac{1}{17}\\\frac{-3}{34}&\frac{2}{17}\\\end{matrix}\right] $,2,3,4,-4,c,matrices,none,2
58,"if a is solution of $ x^2-3x-7=0 $ and a=$ \left[\begin{matrix}5&3\\-1&-2\\\end{matrix}\right],\ then\ a^{-1}equals $",$$  \left[\begin{matrix}\frac{1}{7}&\frac{1}{7}\\-\frac{1}{7}&-\frac{5}{7}\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}\frac{-1}{7}&\frac{1}{7}\\-\frac{1}{7}&-\frac{15}{7}\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}\frac{2}{7}&\frac{3}{7}\\-\frac{1}{7}&-\frac{5}{7}\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}\frac{1}{7}&\frac{11}{7}\\-\frac{11}{7}&-\frac{5}{7}\\\end{matrix}\right]  $$,c,matrices,none,2
59,"if a=$ \left[\begin{matrix}x&1\\1&0\\\end{matrix}\right] $ and $ a^2=i,\ then\ a^{-1}is\ equal\ to $",$$  \left[\begin{matrix}0&\frac{1}{7}\\-\frac{1}{7}&1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}0&0\\-\frac{1}{7}&0\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}\frac{2}{7}&\frac{3}{7}\\-\frac{1}{7}&-\frac{5}{7}\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}0&1\\1&0\\\end{matrix}\right]  $$,d,matrices,none,2
60,"if a and b are square matrices of the same order and ab=31, then $ a^{-1}is\ equal\ to $",3b,$$  3b^{-1}  $$,b/3,$$  \frac{1}{3}b^{-1}  $$,c,matrices,none,2
61,"a square, non-singular matrix a satisfies $ a^2-a+2i=,\ then\ a^{-1}is\ equal\ to $",i-a,1/2(i-2a),½(i-a),i+a,c,matrices,none,2
62,"if a is a square matrix such that|a|$ \neq0\ and\ m,n\ \left(\neq0\right)are\ scalars\ such\ that $ $$  a^2+ma+ni=0\ then\ a^{-1}=  $$",$$  \frac{-1}{n}(a+ni)  $$,$$  \frac{-1}{m}(a+ni)  $$,$$  \frac{-2}{m}(a+ni)  $$,$$  \frac{-1}{m}(3a+ni)  $$,a,matrices,none,2
63,"if a matrix a is such that $ 4a^3+2a^2+7a+i=o,\ thena^{-1} $equals",$$  -(4a^2+2a+7i)  $$,$$  \left(4a^2+2a+7i\right)  $$,$$  -\left(4a^2-2a+7i\right)  $$,$$  4a^2+2a-7i  $$,a,matrices,none,2
64,"if a and b are square matrices of the same order and a is non-singular,then for a positive integer n, $ \left(a^{-1}ba\right)^nis\ equal\ to $",$$  a^{-n}b^na^n  $$,$$  a^nb^na^{-n}  $$,$$  a^{-1}b^na  $$,$$  n\left(a^{-1}ba\right)  $$,c,matrices,none,2
65,"let x=$ x1x2x3,a=1-12201321and b=314 $ if ax=b, then x=",$$  -123  $$,$$  123  $$,$$  -1-23  $$,$$  -1-2-3  $$,a,matrices,none,2
66,"let x =$ xyz, d=3511 and $ a=$ \left[\begin{matrix}1&-1&-2\\2&1&1\\4&-1&-2\\\end{matrix}\right],\ if\ x=a^{-1}d $  then x=",$$  102  $$,$$  \frac{-8}{310}  $$,$$  \frac{-8}{3-10}  $$,$$  none  $$,d,matrices,none,2
67,"if $ \omega\ is\ a\ complex\ cube\ root\ of\ unity\ and\ a=\left[\begin{matrix}\omega&0&0\\0&\omega^2&0\\0&0&1\\\end{matrix}\right]{,\ then\ a}^{-1}= $",$$  \left[\left[\begin{matrix}\omega^2&0&0\\0&\omega&0\\0&0&1\\\end{matrix}\right]\right]  $$,$$  \left[\begin{matrix}1&0&0\\0&1&0\\0&0&1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}1&0&0\\0&\omega&0\\0&0&1\\\end{matrix}\right]  $$,$ \left[\begin{matrix}\omega&0&0\\0&\omega^2&0\\0&0&1\\\end{matrix}\right] $,a,matrices,none,2
68,the inverse of $ \left[\begin{matrix}1&sin{\alpha}\\-sin{\alpha}&-1\\\end{matrix}\right]\ is $,$$  \left[\begin{matrix}1&sin{\alpha}\\-sin{\alpha}&-1\\\end{matrix}\right]  $$,$$  -{sec}^2{\alpha\left[\begin{matrix}1&sin{\alpha}\\-sin{\alpha}&-1\\\end{matrix}\right]}  $$,$ {sec}^2{\alpha\left[\begin{matrix}1&sin{\alpha}\\-sin{\alpha}&-1\\\end{matrix}\right]} $,$$  {cos}^2{\alpha\left[\begin{matrix}1&sin{\alpha}\\-sin{\alpha}&-1\\\end{matrix}\right]}  $$,c,matrices,none,2
